EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
01548-2025-0-2301-JR-LA-02,1548,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,19/12/2025 16:30,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01739-2025-0-2301-JR-LA-02,1739,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 11:28,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,12,2do Juzgado de Trabajo
01184-2024-0-2301-JR-LA-02,1184,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,31/12/2025 11:15,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,2do Juzgado de Trabajo
01674-2025-0-2301-JR-LA-02,1674,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,30/12/2025 09:41,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,2do Juzgado de Trabajo
01486-2025-0-2301-JR-LA-02,1486,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,29/12/2025 11:45,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01746-2025-0-2301-JR-LA-02,1746,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,18/12/2025 16:56,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01794-2025-0-2301-JR-LA-02,1794,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,29/12/2025 11:42,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01140-2025-0-2301-JR-LA-02,1140,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 12:33,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,2do Juzgado de Trabajo
01577-2025-0-2301-JR-LA-03,1577,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 11:30,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01588-2025-0-2301-JR-LA-02,1588,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/12/2025 17:34,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01705-2025-0-2301-JR-LA-02,1705,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/12/2025 16:16,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,12,2do Juzgado de Trabajo
01586-2025-0-2301-JR-LA-02,1586,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,30/12/2025 09:41,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,2do Juzgado de Trabajo
01632-2025-0-2301-JR-LA-02,1632,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/12/2025 16:14,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,12,2do Juzgado de Trabajo
01768-2025-0-2301-JR-LA-02,1768,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 11:27,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,12,2do Juzgado de Trabajo
01214-2024-0-2301-JR-LA-03,1214,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,10/12/2025 17:58,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Previsional,12,2do Juzgado de Trabajo
01607-2025-0-2301-JR-LA-02,1607,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/12/2025 16:14,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,12,2do Juzgado de Trabajo
00608-2024-0-2301-JR-LA-02,608,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,19/12/2025 16:42,ORDINARIO,RELATIVAS A MATERIA PREVISIONAL,Previsional,12,2do Juzgado de Trabajo
01135-2024-0-2301-JR-LA-02,1135,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,02/12/2025 16:57,URGENTE,CONTENIDO ESPECIAL DEL DERECHO A LA PENSION,Previsional,12,2do Juzgado de Trabajo
01639-2025-0-2301-JR-LA-02,1639,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/12/2025 11:35,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,12,2do Juzgado de Trabajo
01132-2025-0-2301-JR-LA-04,1132,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,23/12/2025 16:45,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,4to Juzgado de Trabajo
01690-2025-0-2301-JR-LA-04,1690,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 13:32,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01710-2025-0-2301-JR-LA-04,1710,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 17:17,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,12,4to Juzgado de Trabajo
01123-2025-0-2301-JR-LA-04,1123,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,22/12/2025 16:59,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01829-2025-0-2301-JR-LA-04,1829,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/12/2025 17:08,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,12,4to Juzgado de Trabajo
01771-2025-0-2301-JR-LA-04,1771,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,31/12/2025 13:32,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,4to Juzgado de Trabajo
01650-2025-0-2301-JR-LA-04,1650,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 13:33,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01027-2025-0-2301-JR-LA-01,1027,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,12/12/2025 13:03,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,4to Juzgado de Trabajo
01274-2025-0-2301-JR-LA-04,1274,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,05/12/2025 08:12,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,4to Juzgado de Trabajo
01444-2025-0-2301-JR-LA-04,1444,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,16/12/2025 17:12,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,12,4to Juzgado de Trabajo
00734-2025-0-2301-JR-CI-01,734,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,31/12/2025 13:35,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01759-2025-0-2301-JR-LA-04,1759,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/12/2025 17:09,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,12,4to Juzgado de Trabajo
00926-2025-0-2301-JR-LA-04,926,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,18/12/2025 15:19,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01724-2025-0-2301-JR-LA-04,1724,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,31/12/2025 17:17,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,12,4to Juzgado de Trabajo
00732-2025-0-2301-JR-LA-04,732,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,17/12/2025 17:37,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01222-2025-0-2301-JR-LA-04,1222,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,31/12/2025 17:18,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01186-2025-0-2301-JR-LA-04,1186,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,16/12/2025 12:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
01239-2025-0-2301-JR-LA-04,1239,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,03/12/2025 16:58,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,12,4to Juzgado de Trabajo
