EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00255-2025-0-2301-JR-CI-03,255,2025,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO (INV.202501),22/01/2026 08:13,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00663-2023-0-2301-JR-LA-02,663,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),13/11/2025 14:45,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02114-2023-0-2301-JR-LA-02,2114,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),31/12/2025 12:33,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00637-2021-0-2301-JR-LA-03,637,2021,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),04/11/2025 16:30,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01773-2018-0-2301-JR-LA-03,1773,2018,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),25/04/2025 16:11,ORDINARIO,CESE DE ACTOS DE HOSTILIDAD DEL EMPLEADOR,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00066-2026-0-2301-JR-LA-02,66,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,23/01/2026 16:38,ORDINARIO,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01036-2025-0-2301-JR-LA-02,1036,2025,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),18/08/2025 12:40,ORDINARIO,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00212-2024-0-2301-JR-LA-02,212,2024,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),09/05/2024 08:50,URGENTE,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00101-2026-0-2301-JR-LA-04,101,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,29/01/2026 08:41,ORDINARIO,CESE DE ACTUACION MATERIAL,Contencioso Administrativo,2,4to Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00958-2020-0-2301-JR-LA-01,958,2020,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,RECEPCION  EN DEPENDENCIA POR APELACION - DEVOLUCION,30/01/2026 08:16,CONTENCIOSO ADMINISTRATIVO,EJECUCION DE RESOLUCION ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
