EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01196-2014-0-2301-JR-LA-02,1196,2014,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,DECRETO PUESTO A DESPACHO PARA SENTENCIAR(ULTIMA SENTENCIA) (INV.202501),19/01/2026 14:56,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01122-2024-0-2301-JR-LA-01,1122,2024,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),06/11/2024 07:58,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00885-2023-0-2301-JR-LA-01,885,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),03/08/2023 17:10,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00889-2023-0-2301-JR-LA-02,889,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),01/10/2024 11:05,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00316-2018-0-2301-JR-LA-02,316,2018,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),12/09/2025 07:44,ESPECIAL,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01706-2023-0-2301-JR-LA-02,1706,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),20/06/2024 16:33,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00411-2017-0-2301-JR-CI-01,411,2017,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),27/03/2025 13:26,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02130-2023-0-2301-JR-LA-02,2130,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),12/01/2024 16:46,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00686-2023-0-2301-JR-LA-02,686,2023,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),16/06/2023 14:10,ORDINARIO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00937-2019-0-2301-JR-LA-02,937,2019,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (POR SENTENCIAR) (INV.202501),08/07/2025 07:48,CONTENCIOSO ADMINISTRATIVO,ACCION CONTENCIOSA ADMINISTRATIVA,Contencioso Administrativo,2,2do Juzgado de Trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
