x_formato,n_num_exp,n_anio_exp,var_des,var_des_det,x_desc_acto_procesal,f_registro,x_proceso,x_materia,Columna1,l_tipo_juzgado_exp,Columna2
00466-2026-0-2301-JR-LA-02,466,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:00,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
00312-2026-0-2301-JR-LA-02,312,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,17/04/2026 17:05,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
00414-2026-0-2301-JR-LA-02,414,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,17/04/2026 17:06,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Previsional,4,2do Juzgado de Trabajo
00298-2026-0-2301-JR-LA-01,298,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:00,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
00115-2026-0-2301-JR-LA-03,115,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,17/04/2026 17:06,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
00424-2026-0-2301-JR-LA-02,424,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 16:59,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Previsional,4,2do Juzgado de Trabajo
00416-2026-0-2301-JR-LA-02,416,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 16:59,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
00321-2026-0-2301-JR-LA-04,321,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,24/04/2026 16:45,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00507-2026-0-2301-JR-LA-04,507,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:16,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00463-2026-0-2301-JR-LA-04,463,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:16,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01809-2025-0-2301-JR-LA-04,1809,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,17/04/2026 15:50,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00413-2026-0-2301-JR-LA-04,413,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 12:39,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00365-2026-0-2301-JR-LA-04,365,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/04/2026 12:35,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01430-2025-0-2301-JR-LA-04,1430,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,27/04/2026 17:01,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00501-2025-0-2301-JR-LA-04,501,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,09/04/2026 17:12,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00575-2026-0-2301-JR-LA-04,575,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 16:44,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01553-2025-0-2301-JR-LA-04,1553,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,17/04/2026 15:50,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00532-2026-0-2301-JR-LA-04,532,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,24/04/2026 16:44,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00731-2025-0-2301-JR-CI-04,731,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,16/04/2026 16:54,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00526-2026-0-2301-JR-LA-04,526,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 16:44,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00189-2026-0-2301-JR-LA-04,189,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:17,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00367-2025-0-2301-JR-LA-04,367,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,16/04/2026 16:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00492-2026-0-2301-JR-LA-04,492,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:16,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00339-2026-0-2301-JR-LA-04,339,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 16:45,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01652-2025-0-2301-JR-LA-04,1652,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,27/04/2026 15:34,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01628-2024-0-2301-JR-LA-04,1628,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,27/04/2026 15:34,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00540-2026-0-2301-JR-LA-04,540,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 12:38,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00382-2026-0-2301-JR-LA-04,382,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,29/04/2026 16:46,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,4,4to Juzgado de Trabajo
00166-2026-0-2301-JR-LA-04,166,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,30/04/2026 13:05,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01735-2025-0-2301-JR-LA-04,1735,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,14/04/2026 17:11,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01914-2025-0-2301-JR-LA-04,1914,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,21/04/2026 16:46,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00300-2026-0-2301-JR-LA-01,300,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,30/04/2026 13:06,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00296-2026-0-2301-JR-LA-04,296,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,22/04/2026 16:45,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00099-2026-0-2301-JR-LA-03,99,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 16:45,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00384-2026-0-2301-JR-LA-04,384,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,30/04/2026 13:06,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,4,4to Juzgado de Trabajo
01732-2025-0-2301-JR-LA-04,1732,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,22/04/2026 16:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00569-2025-0-2301-JR-LA-04,569,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,10/04/2026 15:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00401-2026-0-2301-JR-LA-04,401,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/04/2026 12:39,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01715-2025-0-2301-JR-LA-01,1715,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,17/04/2026 15:50,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00050-2026-0-2301-JR-LA-04,50,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,23/04/2026 16:53,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00258-2026-0-2301-JR-LA-04,258,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,29/04/2026 16:47,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01907-2025-0-2301-JR-LA-04,1907,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,27/04/2026 11:54,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00418-2026-0-2301-JR-LA-04,418,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/04/2026 12:40,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01737-2025-0-2301-JR-LA-04,1737,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,17/04/2026 15:50,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00343-2026-0-2301-JR-LA-04,343,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,24/04/2026 16:45,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00425-2026-0-2301-JR-LA-04,425,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,24/04/2026 09:09,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01633-2025-0-2301-JR-LA-04,1633,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,22/04/2026 16:52,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00094-2026-0-2301-JR-LA-04,94,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,29/04/2026 16:40,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00276-2026-0-2301-JR-LA-04,276,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,30/04/2026 13:06,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00420-2026-0-2301-JR-LA-04,420,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 15:22,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01183-2025-0-2301-JR-LA-04,1183,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,10/04/2026 16:39,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01561-2025-0-2301-JR-LA-03,1561,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,07/04/2026 17:09,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00435-2026-0-2301-JR-LA-04,435,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 13:06,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00208-2026-0-2301-JR-LA-04,208,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,29/04/2026 16:46,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00380-2026-0-2301-JR-LA-04,380,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 12:39,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01842-2025-0-2301-JR-LA-04,1842,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,22/04/2026 16:46,ORDINARIO,RELATIVAS A MATERIA PREVISIONAL,Contencioso Administrativo,4,4to Juzgado de Trabajo
